iso3,year,unemployment_youth
LIC,1993,9.022182963
LMC,1993,11.21533948
MEA,1993,25.66951278
MNA,1993,25.94391925
TMN,1993,26.04175803
MIC,1993,9.886460876
NAC,1993,13.74206763
OED,1993,15.18389682
OSS,1993,21.44243426
PSS,1993,8.148634285
PST,1993,15.26612296
PRE,1993,10.72508276
SST,1993,21.23561246
SAS,1993,10.67944547
TSA,1993,10.67944547
SSF,1993,12.1326951
SSA,1993,12.1326951
TSS,1993,12.1326951
UMC,1993,8.776181945
WLD,1993,10.96132128
DZA,1994,44.204
ARG,1994,25.735
AFG,1994,10.234
ALB,1994,32.977
AGO,1994,39.628
ARM,1994,7.254
AUS,1994,16.869
AUT,1994,4.96
AZE,1994,11.715
BHS,1994,25.246
BHR,1994,3.803
BGD,1994,6.086
BRB,1994,41.862
BLR,1994,22.614
BEL,1994,21.882
BLZ,1994,21.296
BEN,1994,1.568
BTN,1994,4.342
BOL,1994,4.978
BIH,1994,40.61
BWA,1994,36.247
BRA,1994,12.305
BRN,1994,15.217
BGR,1994,25.223
BFA,1994,3.995
BDI,1994,3.879
CPV,1994,21.665
KHM,1994,1.416
CMR,1994,13.032
CAN,1994,15.906
CAF,1994,11.26
TCD,1994,0.991
CHI,1994,15.057
CHL,1994,12.813
CHN,1994,5.626
COL,1994,15.721
COM,1994,9.756
COD,1994,5.388
COG,1994,39.335
CRI,1994,8.28
CIV,1994,6.728
HRV,1994,33.207
CUB,1994,15.448
CYP,1994,5.365
CZE,1994,8.717
DNK,1994,10.179
DJI,1994,59.2
DOM,1994,11.742
ECU,1994,9.311
EGY,1994,30.989
SLV,1994,13.226
GNQ,1994,15.121
ERI,1994,9.91
EST,1994,11.336
SWZ,1994,44.119
ETH,1994,4.472
FJI,1994,10.588
FIN,1994,31.163
FRA,1994,28.417
PYF,1994,32.699
GAB,1994,42.378
GMB,1994,14.323
GEO,1994,14.634
DEU,1994,8.96
GHA,1994,9.203
GRC,1994,29.131
GUM,1994,17.096
GTM,1994,4.276
GIN,1994,5.605
GNB,1994,3.98
GUY,1994,26.482
HTI,1994,18.182
HND,1994,5.317
HKG,1994,4.315
HUN,1994,20.802
ISL,1994,11.506
IND,1994,11.844
IDN,1994,13.108
IRN,1994,21.178
IRQ,1994,15.333
IRL,1994,22.405
ISR,1994,16.65
ITA,1994,31.828
JAM,1994,15.118
JPN,1994,5.459
JOR,1994,36.121
KAZ,1994,13.321
KEN,1994,6.628
PRK,1994,5.764
KOR,1994,7.113
KWT,1994,2.794
KGZ,1994,2.411
LAO,1994,5.528
LVA,1994,33.982
LBN,1994,20.194
