iso3,year,disaster_deaths_per_100k
BEN,1991,0.05667804
BEN,1994,0
BEN,1995,0.3307692
BEN,1996,0.17730896
BEN,1997,0
BEN,1998,0
BEN,1999,0.04419176
BEN,2007,0.11563687
BEN,2008,0.16841686
BEN,2009,0.109021366
BEN,2010,0.48699325
BEN,2011,0
BEN,2012,0.039943732
BEN,2013,0.009700516
BEN,2020,0.047456637
BEN,2021,0.10002384
BEN,2022,0.32951733
BMU,1989,0
BMU,2003,6.4010242999999996
BTN,1994,7.4817558
BTN,2000,34.059364
BTN,2004,0
BTN,2021,1.2861736
BTN,2009,3.2966308
BTN,2011,0.140186
BTN,1999,0
BOL,1990,0
BOL,1994,0.064988
BOL,2000,0.41896244
BOL,2004,0.5208174
BOL,2005,0
BOL,2008,0.57688844
BOL,2009,0
BOL,2010,0.293447976
BOL,2013,0.99596475
BOL,2014,1.15416417
BOL,2016,0.035514466
BOL,2023,0.27444642
BOL,1992,0.716756966
BOL,1997,0.6881613
BOL,1999,0.035548996
BOL,2001,0.57168421
BOL,2002,1.07858008
BOL,2003,1.04886776
BOL,2006,0.26198137
BOL,2007,0.5972513
BOL,2011,0.5001804
BOL,2012,0.12299312
BOL,2015,0.36068237
BOL,2018,0.05169336
BOL,2019,0.70474447
BOL,2020,0.25971483
BOL,2021,0.38081127
BOL,2022,0.52355534
BOL,2024,0
BOL,1998,1.8704152
BOL,1996,0.50066507
BIH,2000,0.14356282
BIH,2003,0
BIH,2001,0
BIH,2004,0
BIH,2005,0.09769687
BIH,2009,0.025788117
BIH,2010,0.131195958
BIH,2014,0.7280731
BIH,2015,0
BIH,2019,0.029755546
BIH,2020,0
BIH,2021,0
BIH,2022,0.061851908
BIH,2023,0.031144353
BIH,1999,0
BIH,2007,0
BIH,2012,0.10886202
BWA,1992,0
BWA,2015,0
BWA,2019,0
BWA,1995,1.2956381
BWA,2000,0.17371245
BWA,2004,0
BWA,2009,0
BWA,2011,0
BWA,2013,0.5412024
BWA,2017,0
BWA,2018,0
BRA,1994,0
BRA,1998,0.008185229
BRA,1999,0.018445264
BRA,2001,0.054990717
BRA,2002,0.057625173
BRA,2004,0.075248191
BRA,2005,0.026231636
BRA,2007,0.036691582
BRA,2010,0.231724915
BRA,2012,0.010001115
BRA,2013,0.053043355
BRA,2014,0.027032387
BRA,2015,0.013646008
BRA,2016,0.01595285
BRA,2020,0.076455366
BRA,2021,0.022862345
BRA,2022,0.25126153
BRA,2023,0.079012139
BRA,1989,0.204724986
BRA,1990,0.015925
BRA,1991,0.02869507
BRA,1992,0.087876398
BRA,1995,0.1455521
BRA,1996,0.112023144
BRA,1997,0.055177585
BRA,2000,0.06538783
BRA,2003,0.08487139
BRA,2006,0.01059206
BRA,2008,0.105360228
BRA,2009,0.049352873
BRA,2011,0.4909547
BRA,2017,0.006714468
BRA,2018,0.010467886
BRA,2019,0.02219254
BRA,2024,0.027568804
VGB,1996,0
VGB,2017,29.916235
BRN,1998,0
BGR,2000,0.17288872
BGR,2001,0.024891526
BGR,1997,0
BGR,1998,0.036430165
BGR,2002,0.012539493
BGR,2005,0.4990262
BGR,2006,0.23177835
BGR,2007,0.220234788
BGR,2010,0.039513867
BGR,2012,0.50745511
BGR,2014,0.284856158
BGR,2015,0.068406425
BGR,2018,0
BGR,2021,0
BGR,2022,18.829378
BGR,2023,0.119622306
BGR,1990,0.011405398
BGR,1993,0
BGR,1999,0
BGR,2008,0.13029465
BFA,1990,0
BFA,1995,0
BFA,1996,0
BFA,1998,0
BFA,2001,0
BFA,2011,0
BFA,2012,0.10517867
BFA,2014,0
BFA,2020,0.060401533
BFA,2022,0
BFA,1994,0.21801044
BFA,1999,0.05202211
BFA,2003,0
BFA,2006,0
BFA,2007,0.35237342
BFA,2008,0.039479095
BFA,2009,0.05750792
BFA,2010,0.09927498
BFA,2013,0.011340174
BFA,2015,0.04273956
BFA,2016,0.077818975
BFA,2017,0.010082749
BDI,1999,0
BDI,2000,0.031707454
BDI,2001,0.061864622
BDI,2003,0
BDI,2004,0.04213186
BDI,2005,1.4887258
BDI,2006,0.41785308
BDI,2008,0.108720444
BDI,2009,0
BDI,2010,0.09861272
