iso1,iso2,common_official_language,common_spoken_language,linguistic_proximity
AFG,IRN,1,0.33046749234199524,0.26999998092651367
AFG,IRQ,0,0.004999999888241291,0
AFG,IRL,0,0,0.25
AFG,ISR,0,0,0.032499998807907104
AFG,ITA,0,0,0.25
AFG,JAM,0,0,0.25
AFG,JPN,0,0,0
AFG,JOR,0,0,0
AFG,KAZ,0,0.0018000000854954123,0.10249999910593033
AFG,KEN,0,0,0
AFG,KIR,0,0,0
AFG,KWT,0,0,0
AFG,KGZ,0,0.012600000947713852,0.06750000268220901
AFG,LAO,0,0,0
AFG,LVA,0,0,0.25
AFG,LBN,0,0,0
AFG,LBR,0,0,0
AFG,LBY,0,0,0
AFG,LTU,0,0,0.25
AFG,MDG,0,0,0
AFG,MWI,0,0,0
AFG,MYS,0,0,0
AFG,MLI,0,0,0
AFG,MLT,0,0,0
AFG,MHL,0,0,0.25
AFG,MRT,0,0,0
AFG,MUS,0,0,0.25
AFG,MEX,0,0,0.25
AFG,FSM,0,0,0
AFG,MSR,0,0,0.25
AFG,MAR,0,0,0
AFG,MOZ,0,0,0
AFG,NRU,0,0,0
AFG,NPL,0,0,0.5
AFG,NLD,0,0,0.25
AFG,ANT,0,0,0.25
AFG,NCL,0,0,0.25
AFG,NZL,0,0,0.25
AFG,NIC,0,0,0.25
AFG,NER,0,0,0
AFG,NGA,0,0,0
AFG,NIU,0,0,0
AFG,NFK,0,0,0.25
AFG,MNP,0,0,0
AFG,NOR,0,0,0.25
AFG,OMN,0,0.004999999888241291,0
AFG,PAK,0,0.03839999809861183,0.5
AFG,PLW,0,0,0
AFG,PAN,0,0,0.25
AFG,PNG,0,0,0
AFG,PRY,0,0,0
AFG,PER,0,0,0.25
AFG,PHL,0,0,0
AFG,PCN,0,0,0.25
AFG,POL,0,0,0.25
AFG,PRT,0,0,0.25
AFG,QAT,0,0.04500000178813934,0
AFG,KOR,0,0,0
AFG,MDA,0,0,0.25
AFG,ROU,0,0,0.25
AFG,RUS,0,0,0.25
AFG,RWA,0,0,0
AFG,SHN,0,0,0.25
AFG,KNA,0,0,0.25
AFG,LCA,0,0,0.25
AFG,SPM,0,0,0.25
AFG,VCT,0,0,0.25
AFG,STP,0,0,0.25
AFG,SAU,0,0,0
AFG,SEN,0,0,0
AFG,SYC,0,0,0.25
AFG,SLE,0,0,0
AFG,SGP,0,0,0.05999999865889549
AFG,SVK,0,0,0.25
AFG,SVN,0,0,0.25
AFG,SLB,0,0,0
AFG,SOM,0,0,0
AFG,ZAF,0,0,0
AFG,ESP,0,2.9999998514540493e-4,0.25
AFG,LKA,0,0,0.45000001788139343
AFG,SDN,0,0,0
AFG,SUR,0,0,0.25
AFG,SWE,0,0,0.25
AFG,CHE,0,0,0.25
AFG,SYR,0,0,0
AFG,TWN,0,0,0
AFG,TJK,0,0.40918001532554626,0.375
AFG,THA,0,0,0
AFG,MKD,0,0.0011999999405816197,0.25
AFG,TGO,0,0,0
AFG,TON,0,0,0
AFG,TTO,0,0,0.25
AFG,TUN,0,0,0
AFG,TUR,0,0.02969999983906746,0
AFG,TKM,0,0.02160000056028366,0
AFG,TCA,0,0,0.25
AFG,TUV,0,0,0
AFG,UGA,0,0,0
AFG,UKR,0,0,0.25
AFG,ARE,0,0,0
AFG,GBR,0,0,0.25
AFG,TZA,0,0,0
AFG,USA,0,0,0.25
AFG,URY,0,0,0.25
AFG,UZB,0,0.08993499726057053,0.03999999910593033
AFG,VUT,0,0,0
AFG,VEN,0,0,0.25
AFG,VNM,0,0,0
AFG,YEM,0,0,0
AFG,ZMB,0,0,0
AFG,ZWE,0,0,0
ALB,AFG,0,0,0.25
ALB,DZA,0,0,0
ALB,AND,0,0,0.25
ALB,AGO,0,0,0.25
ALB,AIA,0,0,0.25
ALB,ATG,0,0,0.25
ALB,ARG,0,0,0.25
ALB,ARM,0,0,0.25
ALB,ABW,0,0,0.25
ALB,AUS,0,1.9999999494757503e-4,0.25
ALB,AUT,0,0,0.25
ALB,AZE,0,0,0
ALB,BHS,0,0,0.25
ALB,BHR,0,0,0
ALB,BGD,0,0,0.25
ALB,BRB,0,0,0.25
ALB,BLR,0,0,0.25
ALB,BLX,0,0,0.25
ALB,BLZ,0,0,0.25
ALB,BEN,0,0,0
ALB,BMU,0,0,0.25
ALB,BTN,0,0,0.11249999701976776
ALB,BOL,0,0,0.13500000536441803
ALB,BIH,0,0,0.25
ALB,BRA,0,0,0.25
ALB,VGB,0,0,0.25
ALB,BRN,0,0,0
ALB,BGR,0,0,0.25
ALB,BFA,0,0,0
ALB,BDI,0,0,0
ALB,KHM,0,0,0
ALB,CMR,0,0,0
ALB,CAN,0,0,0.25
ALB,CPV,0,0,0.25
ALB,CYM,0,0,0.25
