iso3,year,liberal_dem
BOL,2007,0.459
BOL,2008,0.46
BOL,2009,0.444
BOL,2010,0.408
BOL,2011,0.406
BOL,2012,0.405
BOL,2013,0.404
BOL,2014,0.397
BOL,2015,0.376
BOL,2016,0.381
BOL,2017,0.37
BOL,2018,0.345
BOL,2019,0.253
BOL,2020,0.232
BRA,1990,0.679
BRA,1991,0.693
BRA,1992,0.702
BRA,1993,0.706
BRA,1994,0.709
BRA,1995,0.712
BRA,1996,0.713
BRA,1997,0.713
BRA,1998,0.715
BRA,1999,0.719
BRA,2000,0.721
BRA,2001,0.721
BRA,2002,0.724
BRA,2003,0.724
BRA,2004,0.724
BRA,2005,0.774
BRA,2006,0.773
BRA,2007,0.77
BRA,2008,0.77
BRA,2009,0.77
BRA,2010,0.778
BRA,2011,0.785
BRA,2012,0.782
BRA,2013,0.79
BRA,2014,0.789
BRA,2015,0.779
BRA,2016,0.659
BRA,2017,0.644
BRA,2018,0.612
BRA,2019,0.536
BRA,2020,0.539
BRB,1990,0.632
BRB,1991,0.644
BRB,1992,0.645
BRB,1993,0.645
BRB,1994,0.645
BRB,1995,0.646
BRB,1996,0.646
BRB,1997,0.646
BRB,1998,0.646
BRB,1999,0.656
BRB,2000,0.656
BRB,2001,0.656
BRB,2002,0.656
BRB,2003,0.652
BRB,2004,0.649
BRB,2005,0.649
BRB,2006,0.648
BRB,2007,0.649
BRB,2008,0.665
BRB,2009,0.666
BRB,2010,0.665
BRB,2011,0.665
BRB,2012,0.665
BRB,2013,0.659
BRB,2014,0.659
BRB,2015,0.664
BRB,2016,0.664
BRB,2017,0.657
BRB,2018,0.653
BRB,2019,0.665
BRB,2020,0.679
BTN,1990,0.131
BTN,1991,0.131
BTN,1992,0.131
BTN,1993,0.134
BTN,1994,0.134
BTN,1995,0.134
BTN,1996,0.133
BTN,1997,0.133
BTN,1998,0.145
BTN,1999,0.153
BTN,2000,0.156
BTN,2001,0.158
BTN,2002,0.164
BTN,2003,0.164
BTN,2004,0.165
BTN,2005,0.163
BTN,2006,0.169
BTN,2007,0.174
BTN,2008,0.441
BTN,2009,0.51
BTN,2010,0.516
BTN,2011,0.517
BTN,2012,0.516
BTN,2013,0.487
BTN,2014,0.483
BTN,2015,0.485
BTN,2016,0.475
BTN,2017,0.482
BTN,2018,0.497
BTN,2019,0.525
BTN,2020,0.515
BWA,1990,0.584
BWA,1991,0.584
BWA,1992,0.584
BWA,1993,0.584
BWA,1994,0.582
BWA,1995,0.586
BWA,1996,0.586
BWA,1997,0.601
BWA,1998,0.607
BWA,1999,0.607
BWA,2000,0.61
BWA,2001,0.61
BWA,2002,0.61
BWA,2003,0.61
BWA,2004,0.615
BWA,2005,0.62
BWA,2006,0.622
BWA,2007,0.626
BWA,2008,0.617
BWA,2009,0.62
BWA,2010,0.623
BWA,2011,0.62
BWA,2012,0.611
BWA,2013,0.611
BWA,2014,0.611
BWA,2015,0.591
BWA,2016,0.586
BWA,2017,0.572
BWA,2018,0.581
BWA,2019,0.561
BWA,2020,0.489
CAF,1990,0.124
CAF,1991,0.132
CAF,1992,0.152
CAF,1993,0.213
CAF,1994,0.222
CAF,1995,0.22
CAF,1996,0.22
CAF,1997,0.22
CAF,1998,0.22
CAF,1999,0.216
CAF,2000,0.217
CAF,2001,0.217
CAF,2002,0.217
CAF,2003,0.119
CAF,2004,0.091
CAF,2005,0.156
CAF,2006,0.193
CAF,2007,0.193
CAF,2008,0.193
CAF,2009,0.193
CAF,2010,0.195
CAF,2011,0.183
CAF,2012,0.183
CAF,2013,0.151
CAF,2014,0.172
CAF,2015,0.181
CAF,2016,0.232
CAF,2017,0.232
CAF,2018,0.249
CAF,2019,0.22
CAF,2020,0.199
CAN,1990,0.759
CAN,1991,0.759
CAN,1992,0.755
CAN,1993,0.755
CAN,1994,0.761
CAN,1995,0.761
CAN,1996,0.769
CAN,1997,0.766
CAN,1998,0.764
CAN,1999,0.764
CAN,2000,0.765
CAN,2001,0.761
CAN,2002,0.754
CAN,2003,0.754
CAN,2004,0.758
CAN,2005,0.758
CAN,2006,0.765
CAN,2007,0.767
CAN,2008,0.766
CAN,2009,0.765
CAN,2010,0.766
CAN,2011,0.742
CAN,2012,0.737
CAN,2013,0.746
CAN,2014,0.741
CAN,2015,0.745
CAN,2016,0.774
CAN,2017,0.777
CAN,2018,0.773
CAN,2019,0.781
CAN,2020,0.761
CHE,1990,0.83
CHE,1991,0.832
CHE,1992,0.828
CHE,1993,0.833
CHE,1994,0.833
CHE,1995,0.833
CHE,1996,0.837
CHE,1997,0.837
CHE,1998,0.837
CHE,1999,0.837
CHE,2000,0.837
CHE,2001,0.837
CHE,2002,0.837
CHE,2003,0.842
CHE,2004,0.842
CHE,2005,0.842
CHE,2006,0.842
CHE,2007,0.845
CHE,2008,0.854
CHE,2009,0.853
CHE,2010,0.853
CHE,2011,0.855
CHE,2012,0.859
CHE,2013,0.86
CHE,2014,0.86
CHE,2015,0.861
CHE,2016,0.861
CHE,2017,0.868
CHE,2018,0.868
CHE,2019,0.866
CHE,2020,0.855
CHL,1990,0.635
CHL,1991,0.751
CHL,1992,0.751
CHL,1993,0.75
CHL,1994,0.789
CHL,1995,0.789
CHL,1996,0.789
CHL,1997,0.789
CHL,1998,0.789
CHL,1999,0.786
CHL,2000,0.815
CHL,2001,0.815
CHL,2002,0.813
CHL,2003,0.813
CHL,2004,0.813
CHL,2005,0.823
CHL,2006,0.836
CHL,2007,0.839
CHL,2008,0.839
CHL,2009,0.84
CHL,2010,0.841
CHL,2011,0.842
CHL,2012,0.844
CHL,2013,0.853
CHL,2014,0.849
CHL,2015,0.844
CHL,2016,0.844
CHL,2017,0.851
CHL,2018,0.81
CHL,2019,0.767
CHL,2020,0.765
CHN,1990,0.065
CHN,1991,0.064
CHN,1992,0.066
CHN,1993,0.067
CHN,1994,0.067
CHN,1995,0.068
CHN,1996,0.069
CHN,1997,0.069
CHN,1998,0.07
CHN,1999,0.069
CHN,2000,0.07
CHN,2001,0.07
CHN,2002,0.073
CHN,2003,0.073
CHN,2004,0.073
CHN,2005,0.056
CHN,2006,0.055
CHN,2007,0.056
CHN,2008,0.057
CHN,2009,0.057
CHN,2010,0.056
CHN,2011,0.055
CHN,2012,0.055
CHN,2013,0.053
CHN,2014,0.053
CHN,2015,0.052
CHN,2016,0.053
CHN,2017,0.05
CHN,2018,0.049
CHN,2019,0.048
CHN,2020,0.043
CIV,1990,0.191
CIV,1991,0.194
CIV,1992,0.194
CIV,1993,0.21
CIV,1994,0.228
CIV,1995,0.188
CIV,1996,0.25
CIV,1997,0.252
CIV,1998,0.25
CIV,1999,0.253
CIV,2000,0.174
CIV,2001,0.304
CIV,2002,0.306
CIV,2003,0.306
CIV,2004,0.307
CIV,2005,0.303
CIV,2006,0.301
CIV,2007,0.302
CIV,2008,0.301
CIV,2009,0.297
CIV,2010,0.302
CIV,2011,0.299
CIV,2012,0.329
CIV,2013,0.318
CIV,2014,0.323
CIV,2015,0.329
CIV,2016,0.356
CIV,2017,0.346
CIV,2018,0.348
CIV,2019,0.33
CIV,2020,0.27
CMR,1990,0.128
CMR,1991,0.137
CMR,1992,0.145
CMR,1993,0.15
CMR,1994,0.151
CMR,1995,0.152
CMR,1996,0.15
CMR,1997,0.148
CMR,1998,0.15
CMR,1999,0.15
CMR,2000,0.159
CMR,2001,0.16
CMR,2002,0.159
CMR,2003,0.161
CMR,2004,0.162
CMR,2005,0.158
CMR,2006,0.158
