iso3,year,gdp_growth
ZAF,2019,0.25993557687633
SSD,2019,..
ESP,2019,1.9839662230883
LKA,2019,-0.220483886072614
KNA,2019,2.83126737870639
LCA,2019,-0.653959999999998
MAF,2019,6.50000363700821
VCT,2019,0.661727443679865
SDN,2019,-2.17825104530091
SUR,2019,1.16758977233877
SWE,2019,1.98619587380391
CHE,2019,1.14198232505277
SYR,2019,1.22070522070523
TJK,2019,7.40000016310556
TZA,2019,5.79999999996723
THA,2019,2.11455779628278
TLS,2019,23.4120167614743
TGO,2019,4.92292591685973
TON,2019,0.706483433860413
TTO,2019,0.3612724057636
TUN,2019,1.58784665466504
TUR,2019,0.81852593620826
TKM,2019,6.30000004226711
TCA,2019,5.31092524837172
TUV,2019,13.8220984406966
UGA,2019,6.43874503276439
UKR,2019,3.19950386354134
ARE,2019,1.10834813453296
GBR,2019,1.64161099628876
USA,2019,2.46703756313913
URY,2019,0.928565543252915
UZB,2019,5.98156194197318
VUT,2019,3.24118765540442
VEN,2019,..
VNM,2019,7.35926270105006
VIR,2019,2.93354101765317
PSE,2019,1.36268746558062
YEM,2019,..
ZMB,2019,1.44130602603785
ZWE,2019,-6.33244640703352
AFE,2019,2.18925928385238
AFW,2019,3.22202851816454
ARB,2019,1.67111088873453
CSS,2019,1.02465322343599
CEB,2019,3.9085218171802
EAR,2019,2.40227091068415
EAS,2019,3.96022191431953
EAP,2019,5.78189180012092
TEA,2019,5.78182085585361
EMU,2019,1.59042607022333
ECS,2019,1.80525623034259
ECA,2019,2.24722492786316
TEC,2019,2.65714284041665
EUU,2019,1.80531197138112
FCS,2019,2.52349885724941
HPC,2019,4.42098571652352
HIC,2019,1.84582706522261
IBD,2019,3.98398105981119
IBT,2019,3.97911905590745
IDB,2019,2.77073135741783
IDX,2019,4.96526418580665
IDA,2019,3.91940910668558
LTE,2019,4.65099889123917
LCN,2019,0.718740959001579
LAC,2019,0.665471963458231
TLA,2019,0.71756735640038
LDC,2019,5.006065947411
LMY,2019,4.08539765236236
LIC,2019,4.23360610408281
LMC,2019,4.05632316283419
MEA,2019,1.37834963889598
MNA,2019,1.11267383038005
TMN,2019,1.11023485004564
MIC,2019,4.08317549770597
NAC,2019,2.42273337667585
INX,2019,..
OED,2019,1.79943732153873
OSS,2019,4.06419882121789
PSS,2019,1.21450022836216
PST,2019,1.76860550874881
PRE,2019,3.30796457026474
SST,2019,3.42548851149165
SAS,2019,3.92432284048063
TSA,2019,3.92432284048058
SSF,2019,2.65974505028328
SSA,2019,2.65684995243198
TSS,2019,2.65974505028331
UMC,2019,4.09017583927643
WLD,2019,2.64221643519321
,2019,
,2019,
,2019,
,2019,
,2019,
AFG,2020,-2.35110067203466
ALB,2020,-3.30208203862541
DZA,2020,-5
ASM,2020,4.41176470588236
AND,2020,-11.1839399355384
AGO,2020,-5.63821471714934
ATG,2020,-18.8803992026325
ARG,2020,-9.9004848136464
ARM,2020,-7.19999999920631
ABW,2020,-23.9825809597131
AUS,2020,-0.33468635945016
AUT,2020,-6.63299143662553
AZE,2020,-4.30000010230737
BHS,2020,-21.4234630658488
BHR,2020,-4.64463735878491
BGD,2020,3.44801755122445
BRB,2020,-12.5396664134407
BLR,2020,-0.672904125264921
BEL,2020,-5.30447336526071
BLZ,2020,-13.7316910831405
BEN,2020,3.84879240030133
BMU,2020,-6.84286964270544
BTN,2020,-10.2183974208569
BOL,2020,-8.7378843576993
BIH,2020,-3.01509514759861
BWA,2020,-8.72875252639037
BRA,2020,-3.2767587964736
VGB,2020,..
BRN,2020,1.1335733495246
BGR,2020,-3.96615613627334
BFA,2020,2.01077262411845
BDI,2020,0.327156892638385
CPV,2020,-20.8052759150896
KHM,2020,-3.09600673131888
CMR,2020,0.259932915907115
CAN,2020,-5.03823344128351
CYM,2020,-4.95480732200573
CAF,2020,0.899999996857062
TCD,2020,-1.60000673705524
CHI,2020,-8.46759731706375
CHL,2020,-6.14347479224092
CHN,2020,2.23863835634639
COL,2020,-7.18591413760859
COM,2020,-0.195556827149787
COD,2020,1.73542276681493
COG,2020,-6.26777799581888
CRI,2020,-4.27335432054194
CIV,2020,0.699728593256083
HRV,2020,-8.52043813391506
CUB,2020,-10.9490846048862
CUW,2020,-18.0384576815908
CYP,2020,-3.44359637887621
CZE,2020,-5.50296796125089
DNK,2020,-2.42451267861938
DJI,2020,1.31636324158444
DMA,2020,-16.6041095231221
DOM,2020,-6.72023937283404
ECU,2020,-9.24509637743429
EGY,2020,3.550164838581
SLV,2020,-7.893101359867
GNQ,2020,-4.79108083383294
ERI,2020,..
EST,2020,-0.965410617081545
SWZ,2020,-1.55964258999499
ETH,2020,6.05953088643369
FRO,2020,-1.92683441672665
FJI,2020,-17.0398708371883
FIN,2020,-2.35496515679442
FRA,2020,-7.54045916249407
PYF,2020,-7.05099065433484
GAB,2020,-1.8377610635094
GMB,2020,0.591487287873974
GEO,2020,-6.2904717853839
DEU,2020,-3.82676871619293
GHA,2020,0.513941670628171
GIB,2020,..
GRC,2020,-9.31643576478743
GRL,2020,0.187608793759281
GRD,2020,-13.7566222572107
GUM,2020,-10.5188595714539
GTM,2020,-1.79185769458479
GIN,2020,4.92026637152216
GNB,2020,1.50000000000006
GUY,2020,43.479651716849
HTI,2020,-3.30550546965893
HND,2020,-8.96508223267296
HKG,2020,-6.54477867707153
HUN,2020,-4.48704604765308
ISL,2020,-6.94045309489034
IND,2020,-5.77772470687434
IDN,2020,-2.06551182934165
IRN,2020,3.33028845926594
IRQ,2020,-12.0367930920856
IRL,2020,6.61719466830968
IMN,2020,-8.8368174000649
ISR,2020,-1.85728927811242
ITA,2020,-8.97419212060699
JAM,2020,-9.92032245054413
JPN,2020,-4.14711889947692
JOR,2020,-1.10275188309046
KAZ,2020,-2.49999999628
KEN,2020,-0.272766327438816
KIR,2020,-0.641025641025635
PRK,2020,..
KOR,2020,-0.709415359397681
XKX,2020,-5.34027547826166
KWT,2020,-5.27402060452467
KGZ,2020,-7.14897757727955
LAO,2020,0.503031829018681
LVA,2020,-3.51380284197906
LBN,2020,-21.3998996914321
LSO,2020,-7.4587170594629
LBR,2020,-2.98249127649473
LBY,2020,-58.318230419936
LIE,2020,..
LTU,2020,-0.0246124952916773
LUX,2020,-0.909829798886719
MAC,2020,-54.3358756393687
MDG,2020,-7.13767162064489
MWI,2020,0.799998330902724
MYS,2020,-5.45684658426701
MDV,2020,-32.9088287752921
MLI,2020,-1.235450447077
MLT,2020,-8.15677876534716
MHL,2020,-2.84598166138942
MRT,2020,-0.360657378942108
MUS,2020,-14.5465381490166
MEX,2020,-8.62455573080136
FSM,2020,-1.9607843137255
MDA,2020,-8.27597831976949
MCO,2020,-13.0110935023772
MNG,2020,-4.55775197583431
MNE,2020,-15.3068937570407
MAR,2020,-7.17820744246774
MOZ,2020,-1.21952250306097
MMR,2020,-9.04834717984643
NAM,2020,-8.1014007457625
NRU,2020,1.57480314960559
NPL,2020,-2.3696206292072
NLD,2020,-3.88608391819609
NCL,2020,-2.40000000064407
NZL,2020,-0.424906457573115
NIC,2020,-1.75538036103812
NER,2020,3.55064109436891
NGA,2020,-1.79425308274458
MKD,2020,-4.68845000956652
MNP,2020,-29.6808510638298
NOR,2020,-1.2781717845226
OMN,2020,-3.37971439992238
PAK,2020,-1.27408744338709
PLW,2020,-7.56802122871169
PAN,2020,-17.6683327218533
PNG,2020,-3.16738117629639
PRY,2020,-0.819785390971916
PER,2020,-10.9333065010382
PHL,2020,-9.5182947406494
POL,2020,-2.02007073357655
PRT,2020,-8.3005165411776
PRI,2020,-4.1808743093346
QAT,2020,-3.5576039896784
ROU,2020,-3.67751079121797
RUS,2020,-2.65365450102773
RWA,2020,-3.37369377003786
WSM,2020,-3.10844401053139
SMR,2020,-6.64791081891327
STP,2020,2.62485949543812
SAU,2020,-3.58153486307663
SEN,2020,1.3420737726679
SRB,2020,-0.903218501520755
SYC,2020,-11.7398608281732
SLE,2020,-1.96848689118619
SGP,2020,-3.86979893430043
SXM,2020,-13.3167887221567
SVK,2020,-3.32972320966405
SVN,2020,-4.24088372175214
SLB,2020,-3.3811475409836
SOM,2020,-2.56308758042714
ZAF,2020,-5.96335818439407
SSD,2020,..
ESP,2020,-11.1672978596983
LKA,2020,-4.62451581633715
KNA,2020,-15.3544517590966
LCA,2020,-24.5044000000001
MAF,2020,-12.500002246731
VCT,2020,-3.73914599187015
SDN,2020,-3.62980082410752
SUR,2020,-15.9751917148622
SWE,2020,-2.17021317885872
CHE,2020,-2.14173720650054
SYR,2020,-0.182330467026262
TJK,2020,4.40000111553493
TZA,2020,1.99196460647855
THA,2020,-6.05003846851622
TLS,2020,31.9619188685361
TGO,2020,1.99215501870344
TON,2020,0.488645323313833
TTO,2020,-9.07787689348437
TUN,2020,-8.5918261797364
TUR,2020,1.85983969001542
TKM,2020,5.89999999999999
TCA,2020,-26.782932872099
TUV,2020,-4.27493206901397
UGA,2020,2.95130642218098
UKR,2020,-3.75280409994949
ARE,2020,-4.95705243303316
GBR,2020,-10.3599008187799
USA,2020,-2.21346933290643
URY,2020,-7.38009884092411
UZB,2020,1.99558508201379
VUT,2020,-4.99249142889525
VEN,2020,..
VNM,2020,2.86541320912272
VIR,2020,-1.91677175283733
PSE,2020,-11.3184661065134
YEM,2020,..
ZMB,2020,-2.78505506545167
ZWE,2020,-7.81695064681365
AFE,2020,-2.78037855183037
AFW,2020,-1.00441739370378
ARB,2020,-5.40097921653559
CSS,2020,-9.19346279301007
CEB,2020,-3.41747603978885
EAR,2020,-4.36828773942047
EAS,2020,-0.144692822272788
EAP,2020,1.24692683762466
TEA,2020,1.24678181948381
